#Filenum,Time,flux,errFlux,weightMean,errWeightMean,ratio,ratioErr
249,24.298617,308083,402,29586.006037,47.854578,10.413132,0.021640
250,24.408083,297375,396,29805.237054,48.128573,9.977273,0.020883
251,24.517283,305354,401,29708.982036,47.984254,10.278171,0.021396
252,24.627000,301102,398,29688.047327,48.036527,10.142196,0.021190
253,24.736467,299546,397,29683.627541,47.956247,10.091287,0.021087
254,24.845667,302116,399,29568.878195,47.965490,10.217364,0.021373
255,24.955117,297289,397,30042.053374,48.925940,9.895762,0.020841
256,25.064583,297328,396,29050.899237,47.730181,10.234726,0.021647
257,25.174033,296785,395,29555.652092,47.803066,10.041565,0.021033
258,25.283500,300792,398,29464.412536,47.668378,10.208654,0.021336
259,25.393217,302506,399,29773.299697,48.038999,10.160312,0.021174
260,25.502683,300506,398,29866.621779,48.050232,10.061600,0.020967
261,25.612133,297154,396,29504.690752,47.854110,10.071416,0.021142
262,25.721867,300661,398,29679.400415,47.898139,10.130292,0.021145
263,25.831067,304799,400,29560.251650,47.828499,10.311110,0.021481
264,25.940517,308076,402,29597.588410,47.841911,10.408821,0.021623
265,26.050250,307101,402,29499.468924,47.815058,10.410391,0.021690
266,26.159183,304558,400,29723.325509,47.974345,10.246431,0.021322
267,26.268650,298180,396,29454.045793,47.865178,10.123567,0.021247
268,26.378367,302992,399,29421.621724,47.805218,10.298277,0.021538
269,26.487567,303578,400,29802.304567,48.042717,10.186393,0.021208
270,26.597283,302347,399,29658.678703,47.942574,10.194217,0.021273
271,26.707000,303865,400,29914.025332,48.444660,10.157944,0.021199
272,26.816200,301974,399,29647.193433,48.421197,10.185585,0.021398
273,26.925667,298219,397,29990.119611,49.055582,9.943908,0.020971
274,27.035383,305178,401,30015.766681,48.746022,10.167257,0.021240
275,27.144583,294433,395,29911.075575,48.728344,9.843611,0.020774
276,27.254300,303319,400,29534.993249,48.154291,10.269818,0.021536
277,27.363767,300068,398,29687.633846,48.394353,10.107508,0.021241
278,27.472967,295866,395,29573.300661,48.359448,10.004497,0.021120
279,27.582417,304184,401,29811.716091,48.578348,10.203505,0.021386
280,27.692150,300589,398,29754.113743,48.465768,10.102435,0.021206
281,27.801350,286092,389,29883.631436,48.600039,9.573535,0.020294
282,27.911067,295386,395,29607.862069,48.358919,9.976607,0.021060
283,28.020783,298731,397,29874.723441,48.682930,9.999457,0.021026
284,28.130250,307896,403,29716.779795,48.371688,10.361015,0.021641
285,28.239967,294194,394,29979.682933,48.683755,9.813112,0.020656
286,28.349433,292244,393,29817.896526,48.815026,9.800960,0.020764
287,28.458633,297868,397,30135.883600,49.127732,9.884163,0.020813
288,28.568083,294850,395,30164.917887,49.096874,9.774600,0.020605
289,28.677283,305994,402,30336.247364,49.124752,10.086745,0.021033
290,28.786483,302456,400,29898.070663,48.975636,10.116238,0.021298
291,28.895950,304596,401,30158.804927,49.046773,10.099737,0.021132
292,29.005667,303732,401,30107.239518,49.081078,10.088338,0.021163
293,29.115133,297634,397,30077.982548,48.987828,9.895411,0.020832
294,29.224850,302586,400,24430.528346,45.003194,12.385569,0.028082
295,29.334567,302039,400,24710.513939,45.147908,12.223097,0.027582
296,29.444283,300385,399,25431.397322,45.462593,11.811581,0.026306
297,29.553483,299663,398,25842.198137,45.587920,11.595879,0.025606
